MUN;P15A17A_NOA;PSINDER;VPH_SINCINT;P12YM_SEPA;LOG_PRECA
9002;3188.07;20909.06;5249.13;13511.88;2075.02
9003;3110.44;26196.08;4395.5;13389.28;503.17
9004;3659.4;24256.5;5494.61;9668.05;989.86
9005;3441.17;25644.67;6780.49;13483.01;1671.14
9006;3341.28;27209.63;5377.63;14018.21;3525.78
9007;3614.9;32405.37;7237.65;12251.63;1890.03
9008;3520.28;27501.6;6014.41;12780.37;718.68
9009;3992.53;30146.38;11154.34;10264.92;2137.4
9010;3365.4;24678.02;5488.21;12312.4;1644.07
9011;3883.89;27272.36;7581.19;11505.61;2696.37
9012;3512.93;28727.24;6116.06;11907.22;330.18
9013;3626.59;31082.73;7663.88;11522.51;1887.7
9014;2211.2;20084.39;2450.29;12554.79;2745.36
9015;2734.65;28174.48;5729.06;13093.07;8930.06
9016;2702.49;19231.55;3808.96;12175.07;2373.53
9017;3223.09;28208.45;6215.86;14056.67;1923.35
13069;4558.47;35172.49;10843.6;8679.04;420.27
15002;4497.78;34030.1;11545.88;9348.31;1620.48
15009;4242.06;35570.07;13323.1;9881.93;1064.53
15010;3890.53;38942.88;13919.37;8815.6;84.83
15011;4445.68;35423.7;12152.76;9422.56;217.65
15013;3689.89;29418.3;6526.01;10611.18;1402.91
15015;4169.28;34667.71;17376.18;8746.08;835.24
15016;4480.23;29851;15981.19;8857.46;333.16
15017;3919.23;32527.6;14413.61;8992.34;1207.64
15020;3948.62;27058.66;5925.49;11367.08;224.45
15022;4256.31;26583.7;10644.07;9214.27;699.3
15023;4395.25;33760.55;11921.24;8433.41;975.35
15024;4330.52;25856.74;6156.66;9726.19;3475.3
15025;4412.37;40073.54;10841.96;9241.93;307.94
15028;4360.13;33103.68;13426.53;8627.06;1290.58
15029;4634.62;35307.6;8511.08;9882.94;698.2
15031;4156.59;43706.47;11403.69;9505.48;1408.06
15033;3784.18;35515.32;8208.88;11112.15;1493.77
15034;4461.07;25630.37;18989.56;6751.64;149.37
15035;4618.85;26579.23;12355.74;8354.37;4739.72
15036;4234.66;43379.6;16951.47;7718.63;221.47
15037;3816.61;31407.01;7554.26;9554.51;541.72
15038;4644.14;21334.56;14502.47;8500.29;201.21
15039;4320.64;35196.08;9293.61;9687.93;1298.33
15044;4167.7;30899.81;9263.92;10840.98;462.41
15046;4502.69;32560.25;12632.69;8084.72;233.42
15050;3831.69;30015.49;16835.08;8301.37;0
15053;4341.72;32708.27;10199.28;9934.66;1172.8
15057;3659.13;30898.31;8275.67;10960.48;6392.14
15058;3679.51;35267.47;7455.94;12937.71;5844.48
15059;3969.73;36132.23;12625.7;8147.93;876.73
15060;4279.83;33287.43;10160.68;10102.39;999.63
15061;3845.04;22538.89;15496.09;8607.86;1112.61
15065;4181;42679.81;15276.21;8915.25;848.48
15069;4524.89;29494.04;7610.04;9728.51;1623.38
15070;4044.88;39690.81;10760.37;9961.59;2748.56
15075;4660.41;32197.93;13559.73;8625.18;3618.8
15081;4579.52;32801.28;8330.55;9284.52;476.79
15083;4026.89;22271.76;12519.46;7799.01;1295.9
15084;4590.19;35934.67;17211.48;9391.42;129.65
15089;4128.88;20582.8;13187.78;9631.13;832.18
15091;4106.39;36097.4;11301.73;9593.79;1289.24
15092;4447.33;34156.6;12894.18;9809.08;1663.43
15093;4234.74;34731.61;13935.63;8825.7;1266.87
15094;3946.34;43214.63;16326.83;9292.68;690.74
15095;4100.45;33551.92;11100.72;10084.28;577.44
15096;4125.2;44321.2;15168.78;8994.91;332.29
15099;4483.32;33582.05;10357.33;9935.08;1436.53
15100;4466.03;36355.33;13540.52;9255.17;3336.68
15103;3853.97;24804.86;11029.35;11100.5;130.46
15104;3475.59;28129.64;7432.59;12498.48;2793.77
15108;4147.93;31464.37;7556.85;9221.99;1427.97
15109;3934.03;30062.5;7938.16;10815.33;2034.66
15112;3988.5;26892.31;19047.34;6881.82;972.96
15120;4311.57;37707.65;12140.99;8392.08;802.05
15121;3951.27;27261.54;6020.93;10719.73;1787.46
15122;3972.11;42915.42;10625.4;10621.57;4090.85
15125;3688.77;36726.47;10461.6;7666.47;659.63
